Біграми без пробілів та без перетинів:
Біграма: *яи*, її частота: 0.000813;
Біграма: *дф*, її частота: 0.000013;
Біграма: *дэ*, її частота: 0.000049;
Біграма: *мц*, її частота: 0.000036;
Біграма: *тж*, її частота: 0.000120;
Біграма: *пп*, її частота: 0.000133;
Біграма: *бк*, її частота: 0.000229;
Біграма: *сш*, її частота: 0.000128;
Біграма: *мж*, її частота: 0.000098;
Біграма: *цу*, її частота: 0.000171;
Біграма: *зш*, її частота: 0.000026;
Біграма: *пв*, її частота: 0.000017;
Біграма: *зь*, її частота: 0.000109;
Біграма: *рр*, її частота: 0.000392;
Біграма: *еф*, її частота: 0.000188;
Біграма: *эп*, її частота: 0.000051;
Біграма: *юу*, її частота: 0.000060;
Біграма: *дб*, її частота: 0.000103;
Біграма: *зс*, її частота: 0.000173;
Біграма: *дх*, її частота: 0.000066;
Біграма: *рх*, її частота: 0.000124;
Біграма: *юа*, її частота: 0.000030;
Біграма: *бп*, її частота: 0.000021;
Біграма: *тф*, її частота: 0.000062;
Біграма: *ущ*, її частота: 0.000336;
Біграма: *аф*, її частота: 0.000306;
Біграма: *хч*, її частота: 0.000077;
Біграма: *юю*, її частота: 0.000045;
Біграма: *ыщ*, її частота: 0.000015;
Біграма: *юц*, її частота: 0.000015;
Біграма: *жм*, її частота: 0.000028;
Біграма: *тщ*, її частота: 0.000024;
Біграма: *ьф*, її частота: 0.000060;
Біграма: *хб*, її частота: 0.000118;
Біграма: *жо*, її частота: 0.000488;
Біграма: *цо*, її частота: 0.000188;
Біграма: *хж*, її частота: 0.000041;
Біграма: *щу*, її частота: 0.000195;
Біграма: *гч*, її частота: 0.000034;
Біграма: *рч*, її частота: 0.000107;
Біграма: *цг*, її частота: 0.000013;
Біграма: *жг*, її частота: 0.000011;
Біграма: *бь*, її частота: 0.000062;
Біграма: *хх*, її частота: 0.000039;
Біграма: *вф*, її частота: 0.000090;
Біграма: *жэ*, її частота: 0.000017;
Біграма: *гэ*, її частота: 0.000019;
Біграма: *нш*, її частота: 0.000120;
Біграма: *вж*, її частота: 0.000068;
Біграма: *уй*, її частота: 0.000133;
Біграма: *гв*, її частота: 0.000086;
Біграма: *жб*, її частота: 0.000047;
Біграма: *юш*, її частота: 0.000047;
Біграма: *бх*, її частота: 0.000062;
Біграма: *фч*, її частота: 0.000004;
Біграма: *ыа*, її частота: 0.000058;
Біграма: *бб*, її частота: 0.000105;
Біграма: *сф*, її частота: 0.000079;
Біграма: *вц*, її частота: 0.000058;
Біграма: *ыц*, її частота: 0.000004;
Біграма: *нж*, її частота: 0.000060;
Біграма: *гг*, її частота: 0.000081;
Біграма: *рщ*, її частота: 0.000068;
Біграма: *тё*, її частота: 0.000002;
Біграма: *шм*, її частота: 0.000032;
Біграма: *бт*, її частота: 0.000006;
Біграма: *гп*, її частота: 0.000096;
Біграма: *эй*, її частота: 0.000075;
Біграма: *пб*, її частота: 0.000006;
Біграма: *чб*, її частота: 0.000006;
Біграма: *эл*, її частота: 0.000621;
Біграма: *пд*, її частота: 0.000004;
Біграма: *яф*, її частота: 0.000041;
Біграма: *уу*, її частота: 0.000143;
Біграма: *чч*, її частота: 0.000002;
Біграма: *жп*, її частота: 0.000034;
Біграма: *чр*, її частота: 0.000009;
Біграма: *чм*, її частота: 0.000011;
Біграма: *бж*, її частота: 0.000013;
Біграма: *дг*, її частота: 0.000062;
Біграма: *цп*, її частота: 0.000034;
Біграма: *бю*, її частота: 0.000021;
Біграма: *шю*, її частота: 0.000004;
Біграма: *бз*, її частота: 0.000011;
Біграма: *эф*, її частота: 0.000036;
Біграма: *зц*, її частота: 0.000030;
Біграма: *лц*, її частота: 0.000017;
Біграма: *фз*, її частота: 0.000004;
Біграма: *зх*, її частота: 0.000011;
Біграма: *гз*, її частота: 0.000024;
Біграма: *дъ*, її частота: 0.000075;
Біграма: *цк*, її частота: 0.000017;
Біграма: *пч*, її частота: 0.000017;
Біграма: *шп*, її частота: 0.000013;
Біграма: *шя*, її частота: 0.000004;
Біграма: *фт*, її частота: 0.000032;
Біграма: *йщ*, її частота: 0.000015;
Біграма: *вщ*, її частота: 0.000028;
Біграма: *гх*, її частота: 0.000015;
Біграма: *шз*, її частота: 0.000004;
Біграма: *чё*, її частота: 0.000009;
Біграма: *шг*, її частота: 0.000004;
Біграма: *жя*, її частота: 0.000028;
Біграма: *пз*, її частота: 0.000006;
Біграма: *яй*, її частота: 0.000049;
Біграма: *жс*, її частота: 0.000045;
Біграма: *фл*, її частота: 0.000062;
Біграма: *цр*, її частота: 0.000017;
Біграма: *юй*, її частота: 0.000034;
Біграма: *цс*, її частота: 0.000009;
Біграма: *чс*, її частота: 0.000006;
Біграма: *пш*, її частота: 0.000009;
Біграма: *цз*, її частота: 0.000011;
Біграма: *жв*, її частота: 0.000034;
Біграма: *ёх*, її частота: 0.000002;
Біграма: *шс*, її частота: 0.000013;
Біграма: *шр*, її частота: 0.000015;
Біграма: *бш*, її частота: 0.000013;
Біграма: *шш*, її частота: 0.000004;
Біграма: *йй*, її частота: 0.000002;
Біграма: *бг*, її частота: 0.000004;
Біграма: *гя*, її частота: 0.000017;
Біграма: *йю*, її частота: 0.000004;
Біграма: *ён*, її частота: 0.000006;
Біграма: *хц*, її частота: 0.000006;
Біграма: *жр*, її частота: 0.000017;
Біграма: *хъ*, її частота: 0.000006;
Біграма: *фф*, її частота: 0.000049;
Біграма: *эс*, її частота: 0.000021;
Біграма: *мю*, її частота: 0.000009;
Біграма: *чя*, її частота: 0.000002;
Біграма: *фп*, її частота: 0.000015;
Біграма: *зф*, її частота: 0.000034;
Біграма: *кю*, її частота: 0.000013;
Біграма: *эб*, її частота: 0.000002;
Біграма: *жт*, її частота: 0.000024;
Біграма: *шч*, її частота: 0.000004;
Біграма: *цб*, її частота: 0.000002;
Біграма: *жл*, її частота: 0.000021;
Біграма: *эв*, її частота: 0.000009;
Біграма: *хь*, її частота: 0.000015;
Біграма: *шэ*, її частота: 0.000002;
Біграма: *гм*, її частота: 0.000024;
Біграма: *щм*, її частота: 0.000004;
Біграма: *ээ*, її частота: 0.000002;
Біграма: *цд*, її частота: 0.000013;
Біграма: *шд*, її частота: 0.000013;
Біграма: *кь*, її частота: 0.000004;
Біграма: *фн*, її частота: 0.000004;
Біграма: *тъ*, її частота: 0.000013;
Біграма: *эя*, її частота: 0.000006;
Біграма: *въ*, її частота: 0.000006;
Біграма: *ця*, її частота: 0.000004;
Біграма: *кщ*, її частота: 0.000009;
Біграма: *бц*, її частота: 0.000002;
Біграма: *жж*, її частота: 0.000006;
Біграма: *шц*, її частота: 0.000002;
Біграма: *цт*, її частота: 0.000017;
Біграма: *эш*, її частота: 0.000002;
Біграма: *цл*, її частота: 0.000006;
Біграма: *фы*, її частота: 0.000009;
Біграма: *пэ*, її частота: 0.000002;
Біграма: *лщ*, її частота: 0.000004;
Біграма: *чз*, її частота: 0.000002;
Біграма: *зъ*, її частота: 0.000006;
Біграма: *гш*, її частота: 0.000004;
Біграма: *щд*, її частота: 0.000002;
Біграма: *що*, її частота: 0.000006;
Біграма: *ыю*, її частота: 0.000002;
Біграма: *фд*, її частота: 0.000002;
Біграма: *цш*, її частота: 0.000002;
Біграма: *эг*, її частота: 0.000004;
Біграма: *фь*, її частота: 0.000004;
Біграма: *щх*, її частота: 0.000002;
Біграма: *гж*, її частота: 0.000004;
Біграма: *ьщ*, її частота: 0.000011;
Біграма: *эх*, її частота: 0.000004;
Біграма: *цэ*, її частота: 0.000006;
Біграма: *дй*, її частота: 0.000004;
Біграма: *жх*, її частота: 0.000004;
Біграма: *фс*, її частота: 0.000002;
Біграма: *пц*, її частота: 0.000006;
Біграма: *ёт*, її частота: 0.000002;
Біграма: *гф*, її частота: 0.000002;
Біграма: *фб*, її частота: 0.000004;
Біграма: *фг*, її частота: 0.000004;
Біграма: *зщ*, її частота: 0.000004;
Біграма: *хю*, її частота: 0.000002;
Біграма: *эа*, її частота: 0.000002;
Біграма: *фв*, її частота: 0.000002;
Біграма: *зй*, її частота: 0.000002;
Біграма: *щв*, її частота: 0.000002;

Ентропія біграми = 2.89273

